merchant_id,name,category,price,quantity,type
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Tomato - Hybrid,Fresh Produce,45,120,Vegetable
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Onion - Red,Fresh Produce,30,200,Vegetable
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Potato - White,Fresh Produce,25,180,Vegetable
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Spinach - Palak,Fresh Produce,20,80,Vegetable
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Carrot - Orange,Fresh Produce,35,100,Vegetable
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Capsicum - Green,Fresh Produce,60,70,Vegetable
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Bitter Gourd - Karela,Fresh Produce,40,60,Vegetable
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Brinjal - Purple,Fresh Produce,30,90,Vegetable
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Cauliflower,Fresh Produce,50,50,Vegetable
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Cucumber,Fresh Produce,25,110,Vegetable
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Banana - Robusta,Fresh Produce,60,150,Fruit
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Apple - Shimla,Fresh Produce,180,80,Fruit
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Mango - Alphonso,Fresh Produce,250,60,Fruit
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Grapes - Green,Fresh Produce,120,75,Fruit
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Watermelon,Fresh Produce,30,20,Fruit
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Papaya,Fresh Produce,50,40,Fruit
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Pomegranate,Fresh Produce,150,55,Fruit
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Orange - Nagpur,Fresh Produce,100,90,Fruit
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Pineapple,Fresh Produce,80,30,Fruit
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Coriander Bunch,Fresh Produce,15,200,Herbs
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Mint Leaves,Fresh Produce,12,180,Herbs
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Curry Leaves,Fresh Produce,10,220,Herbs
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Fenugreek - Methi,Fresh Produce,18,160,Herbs
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Amul Full Cream Milk 1L,Daily Dairy,68,200,Milk/Curd
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Mother Dairy Toned Milk 500ml,Daily Dairy,32,150,Milk/Curd
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Amul Dahi 400g,Daily Dairy,50,100,Milk/Curd
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Nandini Curd 200g,Daily Dairy,25,120,Milk/Curd
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Amul Butter 500g,Daily Dairy,270,60,Cheese/Butter
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Britannia Butter 100g,Daily Dairy,60,90,Cheese/Butter
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Amul Cheese Slices 200g,Daily Dairy,120,70,Cheese/Butter
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Go Cheese Block 200g,Daily Dairy,140,55,Cheese/Butter
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Country Eggs - 6 Pack,Daily Dairy,75,100,Eggs
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Farm Fresh Eggs - 12 Pack,Daily Dairy,140,80,Eggs
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Lays Classic Salted 26g,Snack & Sips,20,300,Chips/Crisps
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Lays Magic Masala 26g,Snack & Sips,20,280,Chips/Crisps
